Name,Country,Age,Gender,Account_Creation_Year,Minutes_Spent
Christopher Phillips,Sao Tome and Principe,14,Male,2012,436
Kenneth Nguyen,South Georgia and the South Sandwich Islands,54,Female,2016,308
James Lopez,San Marino,23,Female,2011,87
George Rhodes,Guinea,29,Male,2021,342
Lisa Trujillo,Greenland,28,Non-binary,2020,465
Daniel Torres,Wallis and Futuna,59,Female,2022,264
Wendy Perez,Burundi,59,Female,2013,444
Gary Morrison,Denmark,22,Male,2023,247
Leslie Morrow,Cocos (Keeling) Islands,54,Male,2021,321
David Baker,Equatorial Guinea,23,Male,2020,6
Amber Craig,Vanuatu,16,Non-binary,2021,470
Mark Mora,Puerto Rico,37,Female,2011,163
Erica Jackson,Somalia,65,Male,2017,214
Sara English,India,53,Non-binary,2020,353
Vincent Gonzalez,Bahamas,35,Non-binary,2013,4
James Johnson,Sao Tome and Principe,53,Female,2023,378
Brian Yang,Antarctica (the territory South of 60 deg S),20,Male,2017,371
Deborah Castro,Saint Pierre and Miquelon,34,Female,2017,212
Christopher Martin,Jordan,34,Female,2023,481
Mark Lee,Christmas Island,20,Female,2016,221
Donna Gates,Montenegro,46,Non-binary,2010,210
Margaret Miles MD,Jamaica,20,Non-binary,2017,477
Vincent Gordon,Saint Martin,52,Male,2017,264
Nicole Proctor,Peru,56,Female,2011,39
Edward Crane,Saudi Arabia,41,Female,2013,408
Brian Eaton,Equatorial Guinea,42,Non-binary,2016,444
Lisa Gallegos,Trinidad and Tobago,43,Male,2018,288
Sean Aguirre,Bolivia,30,Non-binary,2014,299
Karen Jones,Guadeloupe,17,Female,2013,315
Mary Davis,Heard Island and McDonald Islands,13,Male,2011,421
Madison Moore,Bermuda,23,Male,2010,387
Jerry Chavez,Sierra Leone,28,Female,2022,491
Elizabeth Brady,Dominican Republic,23,Female,2013,20
Nicholas Soto,Syrian Arab Republic,17,Male,2017,451
Bradley Reyes,Latvia,26,Male,2018,488
Suzanne Salinas,Ethiopia,23,Non-binary,2016,389
Diane Smith,Honduras,45,Female,2011,181
Ronald Miranda,Bhutan,18,Male,2022,174
Stacey Daugherty,Northern Mariana Islands,55,Non-binary,2022,289
Hayley Pearson,Nigeria,14,Male,2015,277
Joy Saunders,Turkey,21,Non-binary,2012,70
Jordan King,Austria,41,Male,2021,296
Miss Leslie Fitzgerald,Ukraine,20,Male,2018,436
Kristen Cook,Italy,43,Female,2011,247
Robert Decker,Azerbaijan,59,Male,2015,426
Tina King,Tonga,39,Female,2015,432
Grant Reed,Saint Helena,56,Female,2012,35
Robert Lin,Cape Verde,42,Male,2019,14
Andrew Tran,Anguilla,53,Non-binary,2022,53
Christian Davis,Congo,60,Female,2011,247
Michael Rivera,American Samoa,32,Non-binary,2022,363
Rebecca Sexton,Ireland,34,Non-binary,2021,365
Brian Carroll,Taiwan,31,Male,2011,208
Erika Cross,North Macedonia,47,Male,2012,217
Destiny Good,Syrian Arab Republic,16,Male,2016,364
Sara Barr,Ecuador,28,Male,2016,294
Jeremy Jones,Dominica,61,Non-binary,2012,145
Tamara Jones,Turkmenistan,63,Male,2016,74
Casey Neal,Liechtenstein,34,Non-binary,2012,96
William Ramos,Mexico,57,Male,2014,38
Jack Reynolds,Qatar,41,Non-binary,2012,17
Erica Parker,Jamaica,25,Non-binary,2012,360
Joseph Byrd,Yemen,63,Female,2016,439
Tammy Barrett,Honduras,38,Male,2015,469
Christopher Bailey,Uruguay,31,Male,2023,235
Daniel Hill,Dominica,46,Male,2015,439
Jose Porter,Guam,17,Male,2018,329
Brandi Rice,Czech Republic,30,Non-binary,2014,216
Blake Frazier,Indonesia,49,Male,2013,492
Donald Christensen,Eritrea,23,Male,2018,152
John Roberts,Aruba,45,Female,2023,361
Ryan Hunter,Vietnam,32,Female,2016,500
Derrick Savage,Canada,40,Female,2016,189
Tyler Gonzales,Poland,43,Female,2022,286
Cheryl Smith,Aruba,20,Female,2019,70
Adam Ortiz,Isle of Man,33,Male,2019,497
Daniel Ward,Guinea-Bissau,54,Male,2010,88
Stephanie Kidd,Hong Kong,14,Non-binary,2020,378
Belinda Peterson,Romania,28,Non-binary,2022,341
Patrick Nguyen,Spain,33,Female,2017,276
Christopher Harrington,Martinique,38,Male,2012,73
Kenneth Garcia,Zimbabwe,22,Female,2010,120
Alejandro Patterson,Saint Vincent and the Grenadines,47,Female,2021,401
Michelle Duncan,Lebanon,39,Female,2018,181
Anthony Spence,Poland,37,Female,2013,159
Arthur Pierce,Uganda,38,Female,2014,122
Steven Jacobson,Costa Rica,22,Male,2022,158
Steven Parker,Turkmenistan,16,Male,2017,121
Mrs. Kelly Ferguson,Ethiopia,29,Non-binary,2010,259
Stacy Harris,Anguilla,14,Non-binary,2019,275
Donald Johnson,Samoa,35,Female,2022,23
Michelle Decker,Romania,23,Male,2023,165
Sandra Burgess,Costa Rica,61,Non-binary,2019,329
Denise Thompson,Maldives,55,Male,2014,39
Natalie Flores,Slovakia (Slovak Republic),38,Male,2018,472
David Brock,Comoros,59,Non-binary,2011,243
Laura Warren,Heard Island and McDonald Islands,17,Male,2018,206
Yolanda Pham,Antigua and Barbuda,38,Male,2011,146
Hunter Tran,Nicaragua,46,Male,2014,395
Mary Pierce,Gibraltar,41,Male,2014,299
Michael Rogers,Montenegro,29,Non-binary,2016,132
Robert Ochoa,Kyrgyz Republic,58,Female,2022,27
Henry Sullivan,Bahrain,45,Male,2020,401
Karen Copeland,Bulgaria,21,Female,2023,23
Brittany Ruiz,Svalbard & Jan Mayen Islands,15,Non-binary,2010,237
Thomas Carter,Mayotte,24,Male,2020,272
Denise Benton,Tonga,31,Non-binary,2019,470
Larry Boyd,Guatemala,58,Female,2011,80
Jose Hudson,Antarctica (the territory South of 60 deg S),63,Female,2011,226
Christopher Mcdonald,Micronesia,22,Male,2013,376
Larry Walker,Ukraine,49,Non-binary,2022,182
Tyler Williams,Dominican Republic,47,Male,2018,380
Mary Mercado,Liberia,55,Non-binary,2020,352
Ashley Horne,Guernsey,35,Male,2016,472
Frances Martin,Vietnam,33,Female,2021,221
Steven Sawyer,Austria,14,Non-binary,2016,133
Kyle Howard,Honduras,28,Non-binary,2020,375
David Graham,Congo,39,Male,2011,458
Robert Bennett,Honduras,24,Non-binary,2022,203
Logan Nash,Saint Pierre and Miquelon,64,Female,2021,66
Eric Vaughn,El Salvador,29,Female,2016,429
John Hayes,British Virgin Islands,15,Female,2011,178
Todd Walker,Kiribati,26,Male,2019,106
Amanda Cox,Hong Kong,52,Non-binary,2015,112
Christopher Williams,Svalbard & Jan Mayen Islands,34,Non-binary,2016,492
Tina Schroeder,Lesotho,61,Male,2023,63
Amber Walsh,Angola,48,Non-binary,2023,229
Matthew Crawford,Libyan Arab Jamahiriya,41,Non-binary,2013,109
Deborah Soto,Grenada,46,Female,2012,32
Lydia Cook,Hungary,31,Non-binary,2017,233
Kathleen Jacobson,Luxembourg,28,Non-binary,2020,442
Jon Rogers,Dominica,38,Female,2011,193
Kenneth Richards,Western Sahara,37,Female,2017,27
Nicole Howard,India,46,Non-binary,2015,399
Stacy Alvarado,Burundi,27,Male,2019,285
Danielle Hall,Lebanon,53,Male,2010,259
Stephanie Moran,Guam,59,Non-binary,2021,263
Tim Porter,Rwanda,13,Male,2020,494
Fernando Brown,Azerbaijan,27,Female,2013,329
John Walker,Ecuador,63,Non-binary,2014,194
Alexis Hughes,British Virgin Islands,16,Female,2023,105
Robert Delgado,Saudi Arabia,28,Non-binary,2015,265
Thomas Mitchell,Mali,50,Non-binary,2022,260
Shane Hill,United Kingdom,44,Female,2018,380
Tyler Hickman,Guinea-Bissau,42,Female,2023,305
Timothy Huff,Sri Lanka,26,Non-binary,2018,153
Christopher Ball,Korea,29,Male,2016,445
Donna Schmidt,French Polynesia,37,Male,2022,479
Adrian Jackson,Saint Lucia,29,Male,2012,213
Michele Jones,Sri Lanka,27,Male,2023,458
Jill Osborne,Sweden,21,Female,2022,446
Vincent Pennington,Comoros,25,Male,2021,57
Sarah Pearson,Saint Kitts and Nevis,51,Female,2011,10
Monica Scott,Guam,50,Male,2020,340
Kathleen Smith,Norway,27,Male,2011,2
Heather Mcgee,Angola,20,Female,2023,232
Gregory Payne,Germany,58,Female,2010,168
Jason Peck,Papua New Guinea,29,Male,2014,254
James Gonzalez,Botswana,40,Non-binary,2019,324
Christopher Wilcox,Angola,13,Non-binary,2017,216
Mrs. Lauren Martin MD,Kyrgyz Republic,20,Non-binary,2016,230
Jeffrey Owens,Bahrain,24,Non-binary,2019,271
Anna Fitzpatrick,Saint Helena,63,Female,2010,447
Travis Bell,Portugal,51,Female,2018,291
Jonathan Olson,United States Virgin Islands,26,Non-binary,2014,251
Jennifer Gray,New Caledonia,24,Male,2010,149
Jerry Rodriguez,Yemen,45,Male,2013,455
Nicole Allen,Denmark,25,Female,2018,391
Chad Stone,Malta,59,Female,2023,204
Samantha Roberts,Sweden,35,Female,2018,123
Vanessa Porter,Tokelau,50,Non-binary,2022,372
Douglas Anderson,South Georgia and the South Sandwich Islands,21,Male,2018,481
Aaron Brooks,Morocco,54,Male,2022,467
Lisa Walters,Nepal,59,Male,2020,253
Michael Huynh,San Marino,27,Non-binary,2014,419
Colin Stanton,Croatia,22,Non-binary,2014,68
Brad French,Slovenia,15,Male,2016,488
Daniel Martin,Niue,49,Male,2017,254
Charles Thomas,Nicaragua,29,Female,2014,234
Rebecca Chambers,Philippines,59,Non-binary,2019,232
Rachel Rush,Germany,29,Male,2021,68
Colleen Martinez,Antarctica (the territory South of 60 deg S),17,Male,2019,44
Frederick Andersen,Suriname,28,Non-binary,2022,483
Timothy Gibson,Hungary,43,Male,2023,404
Brandon Vance,Bosnia and Herzegovina,25,Male,2022,139
Charles Rodriguez,Reunion,21,Non-binary,2015,481
Alexander Rodriguez,Niger,20,Male,2014,371
William Wilcox,China,38,Non-binary,2019,281
Helen Anderson,Lithuania,53,Non-binary,2015,69
James Carson,Cocos (Keeling) Islands,53,Female,2023,176
Justin Nunez,Tuvalu,37,Non-binary,2016,136
Alexander Williams,Uzbekistan,20,Male,2017,40
Teresa Solis,Ghana,35,Male,2015,479
Gina Baker,Cambodia,24,Male,2020,463
Matthew Landry,Cuba,23,Non-binary,2013,497
Dennis Roberson,Vanuatu,63,Female,2022,197
Sean Harrison,Hungary,18,Non-binary,2012,297
Emily Guerrero,Cyprus,31,Non-binary,2016,459
Angel Bryant,British Virgin Islands,58,Non-binary,2022,497
Cathy Burgess,Albania,41,Male,2018,219
Taylor Moses,Congo,57,Female,2020,394
Amanda Robertson,Anguilla,20,Male,2013,307
Julie Rivas,Bouvet Island (Bouvetoya),64,Male,2023,71
Carolyn Hendrix,Niger,35,Non-binary,2016,163
Tracy Ross,Argentina,40,Non-binary,2019,479
Mr. Douglas Morgan,Kiribati,60,Female,2010,437
Christopher Gill,Bolivia,14,Male,2010,188
Bryan Moore,Libyan Arab Jamahiriya,16,Male,2012,80
Taylor Bennett,Gabon,46,Male,2018,93
Megan Johnson,Wallis and Futuna,60,Male,2020,52
Gregory Hall,Portugal,24,Male,2016,343
Kelly Salazar,Pakistan,59,Male,2016,385
Christopher Smith,Palau,32,Female,2019,221
Steven Guzman,Chad,35,Male,2022,347
Donald Wilcox,Christmas Island,47,Female,2013,154
Megan Mann,Canada,49,Male,2011,434
Christopher Williams,Spain,64,Female,2011,453
Taylor Bird,Bangladesh,21,Female,2016,110
Mitchell Spencer,Jamaica,58,Non-binary,2023,378
Martin King,Chad,37,Female,2014,139
Kiara Martinez,Venezuela,61,Female,2016,59
Jacob Johnson,Austria,56,Non-binary,2021,499
Martin Reed,Martinique,32,Female,2023,313
Peter Horn,Jamaica,23,Female,2014,327
Brandi Wood,Indonesia,62,Non-binary,2015,308
Duane Young,Bangladesh,13,Non-binary,2017,138
Katie Chung,Switzerland,17,Female,2017,51
Judy Russell,Myanmar,62,Female,2022,58
Nathan Berry,Bosnia and Herzegovina,24,Male,2021,239
Jason Sawyer,Iran,54,Male,2021,406
Jeffery Miller,Puerto Rico,30,Female,2018,258
Joseph Thomas,Dominica,63,Male,2020,192
Timothy Scott,New Caledonia,39,Male,2015,430
Bruce Davis,Syrian Arab Republic,23,Non-binary,2022,141
Henry Roberts,Bolivia,52,Male,2018,344
Jay Graham,Zimbabwe,43,Male,2011,248
Denise Reed,Bouvet Island (Bouvetoya),20,Female,2023,389
Bryan Taylor,Micronesia,48,Female,2017,325
Andres Jones,Paraguay,20,Male,2011,377
Joshua Mendoza,Saint Barthelemy,39,Male,2020,103
Sheila Mcknight DVM,Liechtenstein,29,Non-binary,2011,62
Jessica King,Nicaragua,37,Male,2014,336
Jesse Montgomery,Solomon Islands,19,Female,2014,441
Xavier Mann,Equatorial Guinea,34,Female,2012,3
Jacqueline Smith,Cuba,46,Male,2013,313
John Carlson,Sao Tome and Principe,58,Male,2015,222
Kimberly Byrd,Liechtenstein,24,Non-binary,2011,349
Alexandra Moore,Chad,32,Male,2016,472
Richard Hubbard,Benin,46,Female,2016,463
Leslie Moody,Malta,34,Non-binary,2010,185
Dawn Joyce,Guinea,63,Male,2010,279
Hannah Ford,Saint Kitts and Nevis,40,Female,2012,394
Holly Cook,Burkina Faso,44,Male,2019,231
Gloria Clark,France,21,Male,2013,48
Kimberly Gardner,Kuwait,14,Male,2013,234
Nicole Harrison,Christmas Island,33,Male,2015,249
Cassandra Harrington,Pitcairn Islands,49,Female,2012,118
Todd Parker,Micronesia,16,Non-binary,2021,342
Rebecca Collins,Aruba,49,Female,2017,487
Danielle Koch,Mexico,56,Male,2014,273
Courtney Clarke,Iraq,57,Female,2014,200
Jacob Williams,Oman,54,Non-binary,2022,234
Andrew Baker,Micronesia,13,Male,2016,24
Jose Diaz,Cuba,25,Female,2020,325
Bryan Harris,Qatar,35,Male,2022,48
Elizabeth Aguilar,Palau,34,Male,2013,491
Alicia Sweeney,Mauritania,33,Male,2023,14
Melissa Hanson,Romania,25,Male,2011,406
Erik Clark,Guadeloupe,45,Male,2019,443
John Williams,Seychelles,62,Male,2020,248
Robert Warren,Lithuania,48,Female,2023,419
Kathryn Holloway,Western Sahara,35,Female,2014,252
Dr. Brandon Jones,Eritrea,64,Non-binary,2020,168
Clifford Schmidt,Kiribati,51,Male,2016,427
Sarah Burns,South Africa,16,Non-binary,2019,184
Raymond Fox,Guinea-Bissau,49,Female,2019,409
Lisa Gonzalez,Liechtenstein,40,Non-binary,2013,318
Brittney Li,Slovenia,62,Male,2018,158
Gabrielle Moran,Antarctica (the territory South of 60 deg S),48,Male,2012,33
Henry Gonzalez,Sierra Leone,32,Male,2017,223
Elizabeth Joseph,Nigeria,16,Male,2015,467
Alexis Aguirre,Turks and Caicos Islands,29,Male,2015,338
Carlos Keller,Guernsey,21,Female,2017,84
Aaron Mason,Northern Mariana Islands,25,Non-binary,2013,435
Paula Gonzalez,Namibia,64,Non-binary,2015,366
Mitchell Saunders,Iraq,16,Non-binary,2015,457
Jennifer Reynolds,Kiribati,64,Male,2017,355
Alexandra Collins,Cape Verde,64,Male,2013,59
Danielle Miller,Haiti,32,Male,2020,382
Julie Crane,Cameroon,56,Male,2023,320
Frederick Perez,Myanmar,41,Female,2010,214
Alec Oconnor,British Virgin Islands,53,Non-binary,2022,404
Gina Jordan,Haiti,19,Non-binary,2016,136
Mr. Jeremy Mcclain,Cayman Islands,24,Non-binary,2020,306
Marcus Thornton,Kuwait,58,Male,2015,326
Kayla Gray,Lithuania,51,Male,2013,440
Stephen Williams,Iran,47,Male,2014,208
Brenda Fischer,Peru,29,Non-binary,2016,161
Hannah Garza,Guadeloupe,16,Non-binary,2015,36
Robert Brown,Cape Verde,25,Male,2016,343
Jeanette Johnson,El Salvador,51,Non-binary,2020,41
Joseph Nguyen,Mauritius,42,Non-binary,2014,213
Mary Gutierrez,Madagascar,58,Non-binary,2014,464
Sarah Odonnell MD,Macao,17,Male,2017,86
David Murray,North Macedonia,38,Female,2012,209
Mr. Luke Lucas,Oman,40,Female,2020,61
Jennifer Santiago,Pakistan,53,Male,2013,469
Kristine Flowers,Cambodia,32,Male,2013,217
Megan Tran,Nicaragua,22,Female,2018,433
Nichole Myers,Equatorial Guinea,25,Non-binary,2021,168
Edward Yates,Gambia,40,Non-binary,2017,322
Carl Anderson,Kiribati,63,Male,2021,497
Andrew Smith,Oman,35,Female,2016,208
Lauren Blake,Norway,18,Female,2021,254
Chelsea Watson,French Southern Territories,65,Non-binary,2017,487
Jasmine Watts,Brunei Darussalam,15,Male,2021,394
Rebecca Hogan,Guam,62,Non-binary,2023,3
Denise Cannon,Holy See (Vatican City State),56,Non-binary,2016,414
Michelle Wells,Greenland,24,Male,2016,142
Douglas Moore,Jamaica,52,Non-binary,2015,425
Nicholas Weber,Burkina Faso,47,Male,2020,153
Mallory Johnson,Andorra,13,Female,2012,70
Amanda Parker,Luxembourg,47,Non-binary,2021,10
Alyssa Sandoval,Guyana,19,Male,2017,135
Austin Watts,Timor-Leste,62,Non-binary,2018,179
Brian Conley,Switzerland,54,Male,2012,402
Charles Potts,Cyprus,41,Non-binary,2021,385
John Butler,Guyana,15,Male,2014,70
Kathleen Rhodes,Uruguay,61,Non-binary,2018,339
Shawn Vasquez,Saint Barthelemy,47,Non-binary,2014,167
Barry Harrison,Faroe Islands,16,Female,2018,175
Sean Stout,Australia,37,Non-binary,2023,107
Ashley Rogers,Cuba,18,Female,2017,439
Barry Vega,Vietnam,13,Female,2022,163
Michael Rodriguez,Paraguay,21,Non-binary,2019,188
Manuel Eaton,Togo,63,Male,2016,204
Jacob Thompson,Saint Vincent and the Grenadines,39,Male,2022,418
Aaron Ayala MD,Colombia,61,Male,2017,444
Troy Day,Bahrain,25,Male,2013,195
Carlos Rhodes,Martinique,14,Female,2020,196
Matthew Mccoy,Pitcairn Islands,39,Non-binary,2018,147
Raymond Allen,Argentina,61,Male,2017,169
Cameron Wright,Saint Vincent and the Grenadines,28,Female,2016,441
Samantha Melton,Saudi Arabia,46,Male,2014,419
Steven Richardson,Algeria,58,Female,2019,305
Christian Ward,Zimbabwe,54,Non-binary,2023,211
Doris Wilson,Puerto Rico,17,Male,2013,427
Kirk Morrison,Finland,16,Non-binary,2012,470
Laura Mccormick,Romania,19,Female,2017,276
Brandon Hartman,Mongolia,53,Male,2012,201
Janice Taylor,Bosnia and Herzegovina,63,Female,2020,500
Timothy Morrow,Gibraltar,58,Non-binary,2012,66
Maria Doyle MD,Croatia,35,Non-binary,2015,315
Michelle Tate,Martinique,58,Non-binary,2022,130
Jeremiah Torres,Turkmenistan,32,Male,2022,176
Ricky Gay,New Zealand,49,Female,2020,411
Susan Kidd,Timor-Leste,30,Non-binary,2017,197
Joseph Warner,Bulgaria,60,Non-binary,2010,10
Raymond Williams,Czech Republic,30,Male,2011,256
Patricia Juarez,France,29,Non-binary,2014,193
John Cherry,Palestinian Territory,61,Male,2012,101
Andrea Zimmerman,Lao People's Democratic Republic,56,Non-binary,2020,499
Angela Caldwell,Venezuela,18,Non-binary,2012,477
Anthony Paul,Paraguay,13,Non-binary,2012,480
Angel Johnson,Guinea-Bissau,17,Male,2017,144
Richard Mcneil,Malaysia,33,Female,2023,3
Victor Glover,Aruba,23,Female,2015,351
Kristi Johnson,Eritrea,19,Non-binary,2017,4
Sarah Wheeler,Heard Island and McDonald Islands,14,Male,2016,155
Steven Fletcher,Tunisia,27,Female,2022,3
Jennifer Robinson,Australia,52,Male,2015,480
Thomas Jones,British Virgin Islands,27,Female,2014,43
Travis Wheeler,Belgium,49,Male,2023,136
Casey Jackson,Kyrgyz Republic,53,Non-binary,2016,457
Karen Wilkins,New Caledonia,41,Female,2013,310
Robert Roy,Honduras,19,Male,2018,183
Patricia Wood,Panama,39,Female,2015,354
Lauren Lee,Kuwait,28,Male,2014,153
Miranda Thomas,Timor-Leste,50,Non-binary,2015,432
Bryce Waters,Holy See (Vatican City State),38,Male,2023,20
Brian Perez,Mexico,24,Male,2015,106
Sabrina Shaw,Dominica,24,Female,2014,152
Christopher Owens,Saint Kitts and Nevis,61,Male,2017,0
Lisa Steele,Gambia,23,Male,2013,86
Scott Robinson,India,44,Non-binary,2018,259
Megan Kelly,French Guiana,65,Non-binary,2017,373
Joe Ryan,Sudan,45,Non-binary,2022,9
Megan Golden,Guernsey,53,Female,2016,224
Alexis Thomas,Mayotte,40,Non-binary,2018,103
Michael Guerrero,Benin,61,Male,2012,1
Monica Tapia,Wallis and Futuna,32,Non-binary,2013,64
Mary Garner,Guinea,28,Male,2010,384
Tracy Price,Guinea-Bissau,36,Female,2012,114
Brianna Norris,Paraguay,49,Male,2018,221
Morgan Beck,Tonga,41,Non-binary,2010,312
Michael Ramirez,Lebanon,39,Female,2012,364
Karen Roberson,Senegal,57,Non-binary,2021,291
Nathaniel Mclaughlin,Hungary,59,Male,2018,445
Kenneth Smith,Somalia,51,Female,2014,151
Christina Williams,Zambia,46,Non-binary,2020,135
Mark Raymond,Solomon Islands,27,Male,2013,31
Elizabeth Brown,Myanmar,54,Non-binary,2013,387
Katherine Koch,Saint Kitts and Nevis,13,Non-binary,2015,266
Joshua Black,British Virgin Islands,22,Female,2022,297
Bryan Ferrell,Papua New Guinea,62,Female,2022,44
Adam Anderson,American Samoa,27,Non-binary,2021,454
Becky Davis,United States Minor Outlying Islands,44,Female,2022,293
Jonathan Aguirre,Czech Republic,42,Male,2018,347
Cynthia Bryan,Spain,54,Male,2012,460
Jonathan Mccormick,Australia,40,Non-binary,2023,242
Joshua Gonzales,Northern Mariana Islands,36,Male,2011,344
Marcus Williams,Moldova,59,Male,2011,372
Jon Thomas,Angola,54,Non-binary,2021,192
James Pham,Aruba,50,Female,2014,401
David Sanders,Taiwan,43,Female,2015,303
Mr. Seth Martinez MD,Tanzania,17,Female,2011,387
Mark Herrera,Nicaragua,51,Male,2023,436
William Moore,Hong Kong,22,Female,2021,155
Jacqueline Adams,Sierra Leone,40,Female,2021,230
Tracy Fitzpatrick,Peru,56,Non-binary,2013,159
Amy Bradley,Estonia,62,Non-binary,2023,313
Jasmine White,Guinea-Bissau,49,Male,2021,141
Samuel Leon,Mozambique,37,Non-binary,2015,275
Luis Cline,Swaziland,64,Male,2010,325
Monica Fuller,Israel,49,Male,2022,9
Erin Solis,Monaco,40,Non-binary,2018,344
Ms. Kathy Hogan DVM,Senegal,57,Male,2019,200
Vernon Copeland,France,37,Female,2012,224
Ricky Chapman,Azerbaijan,19,Female,2010,157
John Mason,Kyrgyz Republic,19,Male,2015,148
Jeffrey Sanchez,Comoros,28,Female,2021,376
Zachary Zuniga,Iceland,36,Female,2011,26
Anthony White,Peru,46,Male,2018,436
Jennifer Pacheco,Christmas Island,45,Male,2017,400
Chelsea Anderson,South Georgia and the South Sandwich Islands,30,Male,2019,273
Trevor Jimenez,Montenegro,30,Male,2020,350
Alexa Burke,Korea,32,Non-binary,2014,318
Gloria Brown,Cook Islands,59,Non-binary,2015,462
Joseph Morris,Brunei Darussalam,18,Male,2020,35
Renee Estes,Mali,54,Male,2011,289
Ariana Lewis,Cocos (Keeling) Islands,42,Male,2011,132
Nicole Williamson,Rwanda,14,Male,2019,70
Patricia Williams,Romania,43,Male,2019,176
Daisy Brooks,Congo,15,Non-binary,2019,242
Melissa Hull,Turkey,44,Female,2020,429
Sean Lynch,Norway,16,Non-binary,2011,55
Jamie Gamble,Mozambique,23,Non-binary,2010,263
Emily Stanley,Madagascar,24,Female,2015,92
Gavin Simmons,Jersey,16,Male,2015,69
Cameron Castro,Venezuela,50,Male,2016,26
Pamela Spencer,Pitcairn Islands,39,Male,2022,346
Jesse Wolfe,Guyana,60,Non-binary,2015,325
Anthony Mccarthy,Andorra,33,Male,2016,68
Timothy Mckinney,Portugal,63,Male,2022,126
Laura Cherry,Tokelau,14,Male,2019,49
James Novak,Antigua and Barbuda,40,Male,2011,182
Dr. Susan Williams MD,Palau,15,Non-binary,2018,146
Hayley Cox,French Polynesia,45,Female,2012,212
Ann Lee,Ecuador,19,Male,2011,212
Shelley Blackwell,Antarctica (the territory South of 60 deg S),27,Non-binary,2010,386
Meghan Brown,Yemen,29,Male,2021,90
Jennifer Porter,Martinique,49,Male,2016,421
Jennifer Snyder,Christmas Island,39,Non-binary,2018,314
Sean Collins,Uganda,51,Female,2017,415
Christopher Byrd,Uruguay,44,Male,2017,402
Heather Deleon,American Samoa,59,Non-binary,2023,234
Kevin Fernandez,Malaysia,48,Male,2012,200
Carlos Schneider,Nauru,46,Non-binary,2020,318
Charles Mitchell,Cyprus,29,Non-binary,2015,152
Vanessa Rose,Macao,30,Male,2019,114
Christopher Wilkerson,Iran,49,Non-binary,2023,230
Thomas Stokes,Palau,38,Male,2019,34
Scott Cooke,Belarus,63,Female,2015,331
Mary Young,Cayman Islands,39,Male,2023,382
Sabrina Williams,Chile,33,Non-binary,2011,325
Keith Nicholson,New Caledonia,62,Female,2010,414
James Hoover,Liechtenstein,35,Female,2022,60
Rebecca Silva,Indonesia,41,Female,2012,0
James Gregory,French Polynesia,19,Non-binary,2018,481
Katherine Raymond,Albania,57,Male,2011,148
Adam Murphy,Angola,35,Female,2012,51
Steven Newton,Samoa,55,Non-binary,2017,105
Virginia Conway,Gibraltar,27,Non-binary,2023,454
Becky Rangel,Netherlands Antilles,16,Female,2020,1
Adam Fleming,Afghanistan,61,Female,2010,86
Laura Weiss,Singapore,44,Male,2014,369
Annette Baker,Rwanda,44,Female,2019,276
Robert Nguyen,Colombia,22,Non-binary,2023,96
Timothy Rodriguez,Guernsey,40,Female,2013,42
Dana King,Nauru,40,Non-binary,2010,223
Kimberly Wade,Isle of Man,38,Male,2023,263
Katie Floyd,Cameroon,39,Female,2021,488
Shaun Parker,Botswana,63,Non-binary,2010,492
Michael Castillo,Jersey,60,Female,2014,120
Mary Owens,South Africa,43,Non-binary,2017,91
Shelia Vasquez,Taiwan,60,Male,2021,313
Veronica Rosario,Equatorial Guinea,57,Female,2014,309
Michelle Glover,Bhutan,60,Female,2019,256
Debra Hayes,Azerbaijan,45,Non-binary,2018,101
Daniel Rivera,Falkland Islands (Malvinas),48,Non-binary,2016,4
Jonathan Patel,Macao,65,Non-binary,2020,146
Shawn Willis,Belgium,30,Female,2014,404
Gregory Perez,Tanzania,60,Non-binary,2021,405
Paul Benson,Micronesia,15,Male,2014,24
Donald Andrews,Cocos (Keeling) Islands,35,Female,2021,404
Luke Little,Swaziland,45,Female,2011,165
Christine Berger,Zambia,15,Non-binary,2021,220
Linda Reed,Martinique,45,Non-binary,2015,197
Jesus Brown,Palestinian Territory,61,Non-binary,2012,20
Timothy Fletcher,Guatemala,44,Male,2012,87
David Perez,United States Minor Outlying Islands,16,Female,2018,183
Gregory Jones,Finland,65,Non-binary,2023,470
Molly Robinson,Anguilla,51,Male,2019,230
Patricia Brewer,Guam,62,Male,2012,336
Marisa White,Vietnam,15,Non-binary,2011,369
Joel Tran,Cape Verde,32,Non-binary,2021,467
Joseph Bishop MD,Palau,51,Male,2010,418
Gerald Davis Jr.,United States Minor Outlying Islands,64,Non-binary,2022,216
Rodney Diaz,Bouvet Island (Bouvetoya),19,Non-binary,2012,221
Cynthia Nguyen,San Marino,24,Female,2018,459
Phillip Patterson,Croatia,36,Female,2016,244
Lauren Soto,Croatia,45,Female,2020,237
Brad Phillips,North Macedonia,17,Female,2014,166
Mr. Jacob Baker,Martinique,61,Female,2013,364
Tyler Cook,Benin,38,Non-binary,2023,212
Kayla Montgomery,United Arab Emirates,13,Non-binary,2020,68
Mary Garcia,American Samoa,43,Male,2020,235
Nicole Zimmerman,Saint Martin,14,Non-binary,2014,408
Jessica Wade,South Africa,55,Male,2016,204
Colleen Fernandez,Guyana,33,Non-binary,2018,461
Alyssa Bowen,French Southern Territories,14,Female,2018,135
Allen Morrison,Ireland,43,Female,2010,79
